,high-extension,high-overshoot,medium-extension,medium-overshoot,low,verylow,verylow-overshoot
1822,-0.19840238997215254,-0.19840238997215254,-0.19840238997215254,-0.19840238997215254,-0.19840238997215254,-0.19840238997215254,-0.19840238997215254
1823,-0.1853437411867541,-0.1853437411867541,-0.1853437411867541,-0.1853437411867541,-0.1853437411867541,-0.1853437411867541,-0.1853437411867541
1824,-0.1625611135660685,-0.1625611135660685,-0.1625611135660685,-0.1625611135660685,-0.1625611135660685,-0.1625611135660685,-0.1625611135660685
1825,-0.1455540811333647,-0.1455540811333647,-0.1455540811333647,-0.1455540811333647,-0.1455540811333647,-0.1455540811333647,-0.1455540811333647
1826,-0.11733819268466858,-0.11733819268466858,-0.11733819268466858,-0.11733819268466858,-0.11733819268466858,-0.11733819268466858,-0.11733819268466858
1827,-0.10444614610748987,-0.10444614610748987,-0.10444614610748987,-0.10444614610748987,-0.10444614610748987,-0.10444614610748987,-0.10444614610748987
1828,-0.09011212490808201,-0.09011212490808201,-0.09011212490808201,-0.09011212490808201,-0.09011212490808201,-0.09011212490808201,-0.09011212490808201
1829,-0.0849566044708102,-0.0849566044708102,-0.0849566044708102,-0.0849566044708102,-0.0849566044708102,-0.0849566044708102,-0.0849566044708102
1830,-0.07418696328493778,-0.07418696328493778,-0.07418696328493778,-0.07418696328493778,-0.07418696328493778,-0.07418696328493778,-0.07418696328493778
1831,-0.0665087604458162,-0.0665087604458162,-0.0665087604458162,-0.0665087604458162,-0.0665087604458162,-0.0665087604458162,-0.0665087604458162
1832,-0.35441798917426887,-0.35441798917426887,-0.35441798917426887,-0.35441798917426887,-0.35441798917426887,-0.35441798917426887,-0.35441798917426887
1833,-0.4452616585038259,-0.4452616585038259,-0.4452616585038259,-0.4452616585038259,-0.4452616585038259,-0.4452616585038259,-0.4452616585038259
1834,-0.35178133834500913,-0.35178133834500913,-0.35178133834500913,-0.35178133834500913,-0.35178133834500913,-0.35178133834500913,-0.35178133834500913
1835,-0.2617894137357045,-0.2617894137357045,-0.2617894137357045,-0.2617894137357045,-0.2617894137357045,-0.2617894137357045,-0.2617894137357045
1836,-0.2784934635399112,-0.2784934635399112,-0.2784934635399112,-0.2784934635399112,-0.2784934635399112,-0.2784934635399112,-0.2784934635399112
